year,section_label,sentence
2016,RTM,i
2016,RTM,"review of real - time market outcomes although only a small share of the power produced in ercot is transacted in the spot market , real - time energy prices are very important because they set the expectations for prices in the day - ahead market and bilateral forward markets where most transactions occur"
2016,RTM,"unless there are barriers preventing arbitrage of the prices between the spot and forward markets , the prices in the forward market should be directly related to the prices in the spot market ( i.e"
2016,RTM,", the spot prices and forward prices should converge over the long - run )"
2016,RTM,"hence , low prices in the real - time energy market will translate to low forward prices"
2016,RTM,"likewise , price spikes in the real - time energy market will increase prices in the forward markets"
2016,RTM,this section evaluates and summarizes electricity prices in the real - time market during QQyearQQ
2016,RTM,a
2016,RTM,real - time market prices the first analysis evaluates the total cost of supplying energy to serve load in the ercot wholesale market
2016,RTM,"in addition to the costs of energy , loads incur costs associated with ancillary services and a variety of non - market based expenses referred to as “ uplift"
2016,RTM,” an average “ all - in ” price of electricity has been calculated for ercot that is intended to reflect wholesale energy costs as well as these additional costs
2016,RTM,"figure QQmonthdayQQ summarizes changes in energy prices and other market costs by showing the all - in price of electricity , which is a measure of the total cost of serving load in ercot for QQyearlag2QQ through QQyearQQ"
2016,RTM,the ercot - wide price in this figure is the load - weighted average of the real - time market prices from all zones
2016,RTM,ancillary services costs and uplift costs are divided by real - time load to show them on a per mwh basis
2016,RTM,QQmonthdayQQ ercot developed two energy price adders that are designed to improve its real - time energy pricing when conditions or ercot takes out - of - market actions for reliability
2016,RTM,"to distinguish the effects of the energy price adders , the operating reserve demand curve adder ( operating reserve adder ) and the reliability deployment price adder ( reliability adder ) are shown separate from the energy price"
2016,RTM,the operating reserve adder was implemented in mid - QQyearlag2QQ to account for the value of reserves based on the probability of reserves falling below the minimum contingency level and the value of lost load
2016,RTM,the reliability adder was implemented in QQmonthQQ QQyearlag1QQ as a mechanism to ensure that reliability deployments do not distort the energy prices
2016,RTM,"the reliability adder is calculated using a separate price run of sced , removing any reliability unit commitments ( ruc ) or deployed load capacity and recalculating prices"
2016,RTM,"when the recalculated system lambda ( average load price ) is higher than the initial system lambda , the increment is the adder"
2016,RTM,"QQmonthdayQQ for this analysis uplift includes : reliability unit commitment settlement , operating reserve demand curve ( ordc ) settlement , revenue neutrality total , emergency energy charges , base point deviation payments , emergency response service ( ers ) settlement , black start service settlement , and block load transfer settlement"
2016,RTM,QQyearQQ state of the market report | QQmonthdayQQ / figure QQmonthdayQQ : average all - in price for electricity in ercot $ QQ100ltxlt1kQQ $ QQmonthdayQQ energy w / QQmonthQQ adders operating reserve adder reliability adder ancillary services $ QQ100ltxlt1kQQ uplift natural gas price $ QQmonthdayQQ natural gas price ( $ per mmbtu ) $ QQ100ltxlt1kQQ $ QQmonthdayQQ electricity price ( $ per mwh ) $ QQltxlt100QQ $ QQmonthdayQQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQxlt1QQ $ QQxlt1QQ QQmonthQQ QQmonthQQ mam QQmonthQQ QQmonthQQ a QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ mam QQmonthQQ QQmonthQQ a QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ mam QQmonthQQ QQmonthQQ a QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQyearlag2QQ QQyearlag1QQ QQyearQQ the largest component of the all - in price is the energy cost
2016,RTM,the figure above indicates that natural gas prices continued to be a primary driver of energy prices
2016,RTM,"this correlation is expected in a well - functioning , competitive market because fuel costs represent the majority of most suppliers ’ marginal production costs"
2016,RTM,"since suppliers in a competitive market have an incentive to offer supply at marginal costs and natural gas is the most widely - used fuel in ercot , changes in natural gas prices should translate to comparable changes in offer prices"
2016,RTM,"the average natural gas price in QQyearQQ was $ QQmonthdayQQ per mmbtu , down approximately QQmonthdayQQ percent from the QQyearlag1QQ average price of $ QQmonthdayQQ per mmbtu"
2016,RTM,"ercot average real - time energy prices were also down QQmonthdayQQ percent , declining from $ QQmonthdayQQ in QQyearlag1QQ to $ QQmonthdayQQ in QQyearQQ"
2016,RTM,the all - in price in QQyearQQ included small contributions from ercot’s energy price adders - $ QQxlt1QQ per mwh from the operating reserve adder and $ QQxlt1QQ per mwh from the reliability adder
2016,RTM,the highest monthly average operating reserve adder occurred in QQmonthQQ ; while the highest monthly average reliability adder occurred in QQmonthQQ
2016,RTM,"finally , the other classes of costs continue to be a small portion of the all - in electricity price – ancillary services costs were $ QQmonthdayQQ per mwh , down from $ QQmonthdayQQ per mwh in QQyearlag1QQ because of QQmonthdayQQ | QQyearQQ state of the market report / reductions in natural gas prices and lower ancillary service requirements"
2016,RTM,"uplift costs accounted for $ QQxlt1QQ per mwh of the all - in electricity price , similar to $ QQxlt1QQ per mwh in QQyearlag1QQ"
2016,RTM,figure QQmonthdayQQ below provides additional historic perspective on the ercot average real - time energy prices as compared to the average natural gas prices in each year from QQ1kltxlt1MQQ through QQyearQQ
2016,RTM,"figure QQmonthdayQQ : ercot historic real - time energy and natural gas prices QQ100ltxlt1kQQ QQmonthdayQQ QQ100ltxlt1kQQ QQmonthdayQQ natural gas price ( $ per mmbtu ) QQ100ltxlt1kQQ QQmonthdayQQ electricity price ( $ per mwh ) QQ100ltxlt1kQQ QQmonthdayQQ QQltxlt100QQ QQmonthdayQQ QQltxlt100QQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQxlt1QQ QQxlt1QQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQyearlag2QQ QQyearlag1QQ QQyearQQ ercot QQmonthdayQQ QQltxlt100QQ QQltxlt100QQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQltxlt100QQ QQltxlt100QQ QQ100ltxlt1kQQ QQmonthdayQQ QQltxlt100QQ QQltxlt100QQ QQmonthdayQQ QQmonthdayQQ gas QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ QQmonthdayQQ like figure QQmonthdayQQ , figure QQmonthdayQQ shows the close correlation between the average real - time energy price in ercot and the average natural gas price"
2016,RTM,such relationship is consistent with expectations in ercot where natural - gas generators predominate and tend to set the marginal price
2016,RTM,"a noticeable exception occurred in QQ1kltxlt1MQQ , when energy prices were affected by scarcity conditions"
2016,RTM,energy prices vary across the ercot market because of congestion costs that are incurred as power is delivered over the network
2016,RTM,figure QQmonthdayQQ shows the monthly load - weighted average prices in the four geographic ercot zones during QQyearQQ and QQyearlag1QQ
2016,RTM,these prices are calculated by weighting the real - time energy price for each interval and each zone by the total load in that interval
2016,RTM,"load - weighted average prices are the most representative of what loads are likely to pay , assuming that real - time energy prices are , on average , generally consistent with bilateral or other forward contract prices"
2016,RTM,"QQyearQQ state of the market report | QQmonthdayQQ / figure QQmonthdayQQ : average real - time energy market prices by zone $ QQltxlt100QQ QQyearQQ $ QQltxlt100QQ QQyearlag1QQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ per mwh $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQxlt1QQ houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west houston north south west QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ table QQmonthdayQQ provides the annual load - weighted average price for each zone for the past six years , and includes the annual average natural gas price for reference"
2016,RTM,table QQmonthdayQQ : average annual real - time energy market prices by zone QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ QQyearlag2QQ QQyearlag1QQ QQyearQQ ercot $ QQ100ltxlt1kQQ $ QQmonthdayQQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ houston $ QQ100ltxlt1kQQ $ QQmonthdayQQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ north $ QQ100ltxlt1kQQ $ QQmonthdayQQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ south $ QQ100ltxlt1kQQ $ QQmonthdayQQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ west $ QQltxlt100QQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ natural gas ( $ / mmbtu ) $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ the zonal prices in QQyearQQ show greater disparities than QQyearlag1QQ because of congestion in the west and houston
2016,RTM,"prior to QQ1kltxlt1MQQ , average prices in the west zone were lower than average ercot wide prices"
2016,RTM,this changed in QQ1kltxlt1MQQ when demand in the west rose because of increased oil and QQmonthdayQQ | QQyearQQ state of the market report / gas production activity
2016,RTM,the west zone average annual price remained higher than the ercot average until QQyearQQ when increased congestion caused by high levels of wind output in the west pushed the average prices in the west lower than other zones
2016,RTM,"additionally , transmission congestion related to power flows in houston caused that zone to exhibit the highest average prices and reduced the average prices in the north zone"
2016,RTM,figure QQmonthdayQQ shows the load - weighted average real - time prices in ercot for the categories of peak and off - peak for each month in QQyearQQ
2016,RTM,the peak block includes hours ending QQmonthdayQQ - QQmonthdayQQ on weekdays ; the off - peak block includes hours ending QQmonthdayQQ - QQmonthdayQQ and QQmonthdayQQ - QQmonthdayQQ on weekdays and all hours on weekends
2016,RTM,these pricing blocks align with the categories traded on the intercontinental exchange ( ice ) forward markets
2016,RTM,"figure QQmonthdayQQ : peak and off - peak pricing $ QQltxlt100QQ peak off ‐ peak $ QQltxlt100QQ $ QQmonthdayQQ electricity price ( $ per mwh ) $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQxlt1QQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ QQmonthQQ as would be expected , peak hours were higher priced than off - peak hours for every month in QQyearQQ"
2016,RTM,the monthly difference ranged from a minimum of $ QQmonthdayQQ per mwh in QQmonthQQ to a maximum of $ QQmonthdayQQ per mwh in QQmonthQQ
2016,RTM,the average difference between monthly peak and off - peak pricing was $ QQmonthdayQQ per mwh
2016,RTM,"QQyearQQ state of the market report | QQmonthdayQQ / congestion revenue right ( crr ) auction revenues are distributed to qualified scheduling entities ( qses ) representing load , based on a zonal and ercot - wide monthly load - ratio share"
2016,RTM,the crr auction revenues have the effect of reducing the total cost to serve load borne by a qse
2016,RTM,"figure QQmonthdayQQ below shows the effect that this reduction has on a monthly basis , by zone"
2016,RTM,"figure QQmonthdayQQ : effective real - time energy market prices with the crr auction revenue offset included , the ercot - wide load - weighted average price was reduced by $ QQxlt1QQ per mwh to $ QQmonthdayQQ per mwh in QQyearQQ"
2016,RTM,"focusing on zonal differences , a smaller credit in houston relative to the ercot - wide crr auction revenue credit and a larger credit in the west resulted in a net price difference between the two zones being even higher"
2016,RTM,"QQmonthdayQQ | QQyearQQ state of the market report / to provide additional perspective on the outcomes in the ercot market , figure QQmonthdayQQ , below compares the all - in price in ercot with other organized electricity markets in the united states : southwest power pool ( spp ) , midcontinent iso ( miso ) , california iso , new york iso , iso new england , and the pennsylvania - new jersey - maryland ( pjm ) interconnection"
2016,RTM,"figure QQmonthdayQQ : comparison of all - in prices across markets $ QQ100ltxlt1kQQ capacity uplift $ QQ100ltxlt1kQQ ancillary services energy $ QQltxlt100QQ electricity price ( $ per mwh ) $ QQltxlt100QQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQmonthdayQQ $ QQxlt1QQ miso average miso average spp iso ‐ ne hub spp iso ‐ ne hub ercot caiso ercot caiso pjm average pjm average nyiso average nyiso average QQyearlag1QQ QQyearQQ the figure reports each market’s average cost ( per mwh of load ) for energy , ancillary services ( reserves and regulation ) , capacity markets ( if applicable ) , and uplift"
2016,RTM,"figure QQmonthdayQQ shows that , with the exception of a small increase in miso , all - in prices were lower across u.s"
2016,RTM,markets in QQyearQQ
2016,RTM,this highlights the pervasive effects of much lower natural gas prices across the nation
2016,RTM,QQyearQQ state of the market report | QQmonthdayQQ / figure QQmonthdayQQ below shows price duration curves for the ercot energy market in each year from QQ1kltxlt1MQQ to QQyearQQ
2016,RTM,a price duration curve indicates the number of hours ( shown on the horizontal axis ) that the price is at or above a certain level ( shown on the vertical axis )
2016,RTM,the prices in this figure are the hourly ercot average prices derived by load weighting the zonal settlement point prices
2016,RTM,"figure QQmonthdayQQ : ercot price duration curve $ QQ100ltxlt1kQQ frequency of hours QQ1kltxlt1MQQ > $ QQxlt1QQ > $ QQltxlt100QQ > $ QQ100ltxlt1kQQ > $ QQ100ltxlt1kQQ > $ QQ100ltxlt1kQQ QQ1kltxlt1MQQ QQ1kltxlt1MQQ 8,756 QQ1kltxlt1MQQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQ1kltxlt1MQQ 8,780 QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQmonthdayQQ QQmonthdayQQ QQ1kltxlt1MQQ $ QQ100ltxlt1kQQ QQ1kltxlt1MQQ 8,757 QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQltxlt100QQ QQmonthdayQQ QQyearlag2QQ QQyearlag2QQ 8,716 QQ1kltxlt1MQQ QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQltxlt100QQ QQyearlag1QQ electricity price ( $ per mwh ) QQyearlag1QQ 8,705 QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQltxlt100QQ QQmonthdayQQ QQyearQQ 8,653 QQ100ltxlt1kQQ QQ100ltxlt1kQQ QQltxlt100QQ QQmonthdayQQ QQyearQQ $ QQ100ltxlt1kQQ $ QQltxlt100QQ $ QQxlt1QQ ( $ QQltxlt100QQ ) QQxlt1QQ 1,000 2,000 3,000 4,000 5,000 6,000 7,000 8,000 hours the number of hours with prices less than zero has been increasing in the past five years"
2016,RTM,"in QQyearQQ , there were QQ100ltxlt1kQQ hours of prices at or below zero , compared with QQ100ltxlt1kQQ in QQyearlag1QQ and QQltxlt100QQ in QQyearlag2QQ"
2016,RTM,negative ercot - wide prices QQmonthQQ occur when wind is the marginal generation
2016,RTM,more installed wind generation and additional transmission infrastructure has led to increased occurrences of negative prices
2016,RTM,"QQmonthdayQQ | QQyearQQ state of the market report / to see where the prices during QQyearQQ diverged from prior years , figure QQmonthdayQQ compares prices for the highest - priced two percent of hours in each year"
